"Restaurant name","Order ID","Platform Key","Restaurant ID","Order status","Created at","Accepted at","Cancelled at","Cancellation reason","Cancellation owner","Rejected at","Rejection reason","Dispatched at","Delivered at","Address","Transport type","Payment type","Food value","Delivery Fee","Items","Preorder","Billable Status"
"Polland Hopia","g6on-et4w","FP_PH","g6on","Delivered","2020-08-17 09:56","2020-08-17 09:58","","","","","","2020-08-17 10:01","2020-08-17 10:06","Quezon City","Platform delivery","Online","270","39","1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-qxsa","FP_PH","g6on","Delivered","2020-08-17 10:34","2020-08-17 10:35","","","","","","2020-08-17 10:42","2020-08-17 10:55","Quezon City","Platform delivery","Online","594","39","1 Hopia Mongo 4 Pcs, 2 Fresh Chinese Lumpia, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-2p3c","FP_PH","g6on","Delivered","2020-08-17 10:55","2020-08-17 10:57","","","","","","2020-08-17 11:01","2020-08-17 11:07","Quezon City","Platform delivery","Cash","240","29","2 Kuchai Empanada 1 Piece, 2 Hopia Mongo 4 Pcs","no","yes"
"Polland Hopia","g6on-w2fn","FP_PH","g6on","Delivered","2020-08-17 11:58","2020-08-17 11:59","","","","","","2020-08-17 12:04","2020-08-17 12:10","Quezon City","Platform delivery","Online","716","39","2 Hopia Baboy (Wintermelon) 5 Pcs, 2 Mongo Special 5 Pcs, 1 Hopia Mahu Spicy 6 Pieces, 1 Kikiam 3 Pieces","no","yes"
"Polland Hopia","g6on-skue","FP_PH","g6on","Delivered","2020-08-17 13:55","2020-08-17 13:59","","","","","","2020-08-17 14:05","2020-08-17 14:07","Quezon City","Platform delivery","Cash","637","9","2 Machang 1 Piece, 1 Kikiam 3 Pieces, 1 Hopia Mongo 4 Pcs, 1 Hopia Black Mongo 4 Pieces","no","yes"
"Polland Hopia","g6on-10jv","FP_PH","g6on","Delivered","2020-08-17 15:28","2020-08-17 15:31","","","","","","2020-08-17 15:34","2020-08-17 16:09","Quezon City","Platform delivery","Cash","270","39","1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-cat0","FP_PH","g6on","Delivered","2020-08-17 16:58","2020-08-17 17:00","","","","","","2020-08-17 17:03","2020-08-17 17:06","Quezon City","Platform delivery","Online","120","9","2 Mongo Special 5 Pcs","no","yes"
"Polland Hopia","g6on-7zzf","FP_PH","g6on","Delivered","2020-08-17 17:13","2020-08-17 17:15","","","","","","2020-08-17 17:18","2020-08-17 17:26","Lungsod Quezon","Platform delivery","Online","240","39","2 Mongo Special 5 Pcs, 2 Black Mongo Hopia 5 Pcs","no","yes"
"Polland Hopia","g6on-yszx","FP_PH","g6on","Delivered","2020-08-18 08:55","2020-08-18 08:58","","","","","","2020-08-18 09:05","2020-08-18 09:25","Caloocan","Platform delivery","Online","278","39","1 Hopia Bundle of 4 Promopack, 1 Kuchai Empanada 1 Piece","no","yes"
"Polland Hopia","g6on-ye6n","FP_PH","g6on","Delivered","2020-08-18 09:11","2020-08-18 09:12","","","","","","2020-08-18 09:16","2020-08-18 09:27","Quezon City","Platform delivery","Cash","609","39","2 Mongo Special 5 Pcs, 1 Hopia Pineapple 6 Pcs, 1 Kuchai Empanada 6 Pieces, 1 Hopia Mahu Original 6 Pieces","no","yes"
"Polland Hopia","g6on-7ak3","FP_PH","g6on","Delivered","2020-08-18 10:01","2020-08-18 10:12","","","","","","2020-08-18 10:20","2020-08-18 10:30","Caloocan","Platform delivery","Online","436","0","2 Hopia Bundle of 4 Promopack","no","yes"
"Polland Hopia","g6on-7ckd","FP_PH","g6on","Delivered","2020-08-18 10:56","2020-08-18 10:59","","","","","","2020-08-18 11:02","2020-08-18 11:13","Quezon City","Platform delivery","Online","180","39","3 Mongo Special 5 Pcs","no","yes"
"Polland Hopia","g6on-9ytc","FP_PH","g6on","Delivered","2020-08-18 11:29","2020-08-18 11:33","","","","","","2020-08-18 11:37","2020-08-18 11:46","Quezon City","Platform delivery","Online","402","39","1 Fresh Chinese Lumpia, 1 Kuchai Empanada 6 Pieces","no","yes"
"Polland Hopia","g6on-v4n6","FP_PH","g6on","Delivered","2020-08-18 11:33","2020-08-18 11:35","","","","","","2020-08-18 11:46","2020-08-18 11:55","Manila","Platform delivery","Online","742","0","1 Hopia Hapon 4 Pieces, 2 Mongo Special 5 Pcs, 1 Hopia Pineapple 6 Pcs, 1 Machang 1 Piece, 1 Kuchai Empanada 6 Pieces, 1 Fresh Chinese Lumpia","no","yes"
"Polland Hopia","g6on-73pp","FP_PH","g6on","Delivered","2020-08-18 14:01","2020-08-18 14:03","","","","","","2020-08-18 14:19","2020-08-18 14:43","Quezon City 1400","Platform delivery","Online","1852","0","4 Machang 1 Piece, 11 Fresh Chinese Lumpia","no","yes"
"Polland Hopia","g6on-gylv","FP_PH","g6on","Delivered","2020-08-18 14:53","2020-08-18 14:54","","","","","","2020-08-18 14:58","2020-08-18 15:17","Quezon City","Platform delivery","Cash","390","39","1 Kuchai Empanada 6 Pieces, 1 Hopia Mongo 4 Pcs, 1 Mongo Special 5 Pcs","no","yes"
"Polland Hopia","g6on-c6k0","FP_PH","g6on","Delivered","2020-08-18 15:01","2020-08-18 15:08","","","","","","2020-08-18 15:12","2020-08-18 15:22","Caloocan","Platform delivery","Cash","180","39","1 Hopia Hapon 4 Pieces, 1 Black Mongo Hopia 5 Pcs, 1 Mongo Special 5 Pcs","no","yes"
"Polland Hopia","g6on-dqub","FP_PH","g6on","Delivered","2020-08-18 15:26","2020-08-18 15:27","","","","","","2020-08-18 15:42","2020-08-18 15:54","Caloocan","Platform delivery","Cash","326","39","1 Siopao Bola Bola 1 Piece, 2 Black Mongo Hopia 5 Pcs, 1 Hopia Baboy (Wintermelon) 5 Pcs, 1 Hopia Kundol 6 Pieces","no","yes"
